State,Year,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,Median AQI,Avg_Temp
Louisiana,2009,7356,4781,2480,85,10,0,0,127.95652173913044,43.65217391304348,67.96581209133552
Louisiana,2010,7385,4030,3181,166,8,0,0,128.30434782608697,47.34782608695652,68.24235647691769
Louisiana,2011,7443,4058,3172,196,17,0,0,137.77272727272728,47.31818181818182,67.60630615039172
Louisiana,2012,7459,4308,3060,87,4,0,0,124.68181818181819,45.95454545454545,68.77493258463369
Louisiana,2013,7495,4898,2558,36,3,0,0,114.63636363636364,43.40909090909091,66.85685884261797
Louisiana,2014,7373,4659,2660,52,2,0,0,114.0909090909091,43.72727272727273,64.94495173354561
Louisiana,2015,6934,4630,2264,37,3,0,0,108.45454545454545,41.5,68.87944430952888
Louisiana,2016,7241,5124,2096,21,0,0,0,97.86363636363636,41.86363636363637,66.84990871222938
Louisiana,2017,7233,5198,2010,25,0,0,0,103.95454545454545,41.0,70.83123589028324
Louisiana,2018,7259,5192,2028,38,1,0,0,104.13636363636364,39.90909090909091,69.43906408630136
Louisiana,2019,7229,5159,2057,13,0,0,0,92.31818181818181,40.68181818181818,69.69408135410958
Louisiana,2020,7212,5524,1671,17,0,0,0,100.54545454545455,38.27272727272727,70.35101203168044
Louisiana,2021,7108,5355,1737,13,3,0,0,99.9090909090909,39.31818181818182,71.71290329514615
Louisiana,2022,7196,5118,2050,27,1,0,0,105.54545454545455,41.22727272727273,71.28193666742652
Louisiana,2023,7236,4544,2626,63,3,0,0,118.45454545454545,44.31818181818182,71.32424341404511
Louisiana,2024,3514,2648,845,19,2,0,0,112.18181818181819,40.54545454545455,69.43217927318436
Maine,2009,3191,2962,212,15,2,0,0,121.18181818181819,32.63636363636363,47.27287608895779
Maine,2010,3687,3213,448,19,7,0,0,126.0,35.666666666666664,49.68067690823523
Maine,2011,3287,2772,499,13,3,0,0,105.16666666666667,35.25,46.62034734680326
Maine,2012,3291,2881,401,9,0,0,0,95.9090909090909,35.63636363636363,45.66666580730758
Maine,2013,3373,2916,433,24,0,0,0,117.45454545454545,36.18181818181818,47.4223152142537
Maine,2014,3306,2804,496,6,0,0,0,93.54545454545455,36.0,47.74374914363012
Maine,2015,3394,2673,713,8,0,0,0,99.83333333333333,36.75,44.28116637294332
Maine,2016,3624,3067,551,5,1,0,0,99.81818181818181,34.81818181818182,46.10483948676665
Maine,2017,3556,2956,585,13,2,0,0,122.0909090909091,36.36363636363637,45.44988201324453
Maine,2018,3320,2863,450,5,1,1,0,116.0,37.2,46.66790818607306
Maine,2019,3320,2951,365,3,1,0,0,94.7,35.6,45.47685362495548
Maine,2020,3111,2816,293,1,0,1,0,90.8,35.5,47.92436726678867
Maine,2021,3228,2868,345,14,1,0,0,121.5,34.9,53.26794570975815
Maine,2022,3358,3072,280,6,0,0,0,92.9090909090909,33.90909090909091,45.55080549865372
Maine,2023,3665,3112,547,6,0,0,0,94.63636363636364,36.63636363636363,49.628068143830454
Maine,2024,2239,2014,223,2,0,0,0,84.54545454545455,36.18181818181818,50.75834053803471
Maryland,2009,4604,2837,1707,57,2,1,0,119.25,45.5,55.110404838766655
Maryland,2010,4741,2453,1984,258,44,2,0,173.4375,49.1875,55.27358226042906
Maryland,2011,4569,2343,1996,183,44,3,0,166.13333333333333,49.0,55.028318889143506
Maryland,2012,4700,2452,2004,198,42,4,0,180.53333333333333,49.0,56.73913004491803
Maryland,2013,4688,2961,1685,42,0,0,0,116.86666666666666,45.4,53.551981714985274
Maryland,2014,4970,2957,1990,23,0,0,0,107.375,46.5625,53.238932407733564
Maryland,2015,5047,2943,2045,56,3,0,0,125.0,46.875,55.82790259299704
Maryland,2016,5082,3273,1715,86,7,1,0,131.0625,44.9375,56.24036960981528
Maryland,2017,5215,3560,1601,50,4,0,0,117.75,44.125,55.552773441958
Maryland,2018,5190,3618,1517,53,2,0,0,122.25,42.9375,54.53536036149919
Maryland,2019,5190,3869,1275,46,0,0,0,109.0625,42.5625,55.318402623263914
Maryland,2020,5190,4518,666,6,0,0,0,88.5,38.0625,55.663929207484266
Maryland,2021,5196,3910,1247,39,0,0,0,110.8125,41.25,57.56649132132345
Maryland,2022,5185,4151,1026,8,0,0,0,98.3125,41.0,54.25694048078929
Maryland,2023,5197,3874,1230,60,32,1,0,168.5625,42.4375,55.83987573065479
Maryland,2024,2205,1800,397,8,0,0,0,88.6875,38.875,52.503335061488116
Massachusetts,2009,3824,2427,1337,59,1,0,0,130.66666666666666,42.166666666666664,48.40742102412189
Massachusetts,2010,3923,2563,1284,69,7,0,0,145.41666666666666,43.0,52.0108979528886
Massachusetts,2011,3957,2379,1523,47,7,1,0,142.66666666666666,45.416666666666664,51.0840409222184
Massachusetts,2012,3890,2544,1267,71,8,0,0,147.16666666666666,43.083333333333336,50.99489329421478
Massachusetts,2013,4095,2708,1341,45,1,0,0,120.33333333333333,42.666666666666664,50.50540721874019
Massachusetts,2014,4698,3189,1505,4,0,0,0,95.46153846153847,42.92307692307692,50.960267677720196
Massachusetts,2015,4578,3298,1254,25,1,0,0,119.07692307692308,40.07692307692308,50.959020059367475
Massachusetts,2016,4719,3834,854,29,2,0,0,121.3076923076923,38.61538461538461,52.53385662458887
Massachusetts,2017,4703,3641,1022,37,3,0,0,129.76923076923077,40.30769230769231,51.58522584659761
Massachusetts,2018,4720,3538,1147,35,0,0,0,117.23076923076923,40.15384615384615,51.30766693325607
Massachusetts,2019,4714,3737,972,5,0,0,0,96.15384615384616,40.76923076923077,49.73198589728115
Massachusetts,2020,4733,3678,1049,6,0,0,0,95.6923076923077,40.30769230769231,52.1977877024475
Massachusetts,2021,4717,3495,1200,21,1,0,0,121.84615384615384,40.0,52.146641373662874
Massachusetts,2022,4729,3663,1054,12,0,0,0,104.15384615384616,40.53846153846154,52.800285433174665
