State,County,Year,Avg_Temp
California,Merced,2010,61.12511707945205
California,Merced,2011,59.6920700739726
California,Merced,2012,63.056261464480876
California,Merced,2013,62.66120599726027
California,Merced,2014,64.90023114285715
California,Merced,2015,63.9934604630137
California,Merced,2016,63.77180457103825
California,Merced,2017,63.95857808493151
California,Merced,2018,63.00899981917808
California,Merced,2019,62.857826835616436
California,Merced,2020,63.40992515573771
California,Merced,2021,63.65888680273973
California,Merced,2022,63.66740395342466
California,Merced,2023,63.31237420031797
California,Merced,2024,64.29499570212766
California,Mono,2010,44.670369426484015
California,Mono,2011,43.457765980369516
California,Mono,2012,47.11889388461539
California,Mono,2013,44.89584450958904
California,Mono,2014,47.78997960192837
California,Mono,2015,46.277418101983
California,Mono,2016,46.99819678005465
California,Mono,2017,46.21699175
California,Mono,2018,48.30053235950413
California,Mono,2019,44.78266870319635
California,Mono,2020,47.62964692146119
California,Mono,2021,48.80374158991228
California,Mono,2022,46.317564058447495
California,Mono,2023,43.72456906807727
California,Mono,2024,42.3648296043956
California,Monterey,2010,55.48943815512466
California,Monterey,2011,55.03380510399257
California,Monterey,2012,55.608665466055044
California,Monterey,2013,55.843854950504124
California,Monterey,2014,58.564226483105024
California,Monterey,2015,58.25883296703297
California,Monterey,2016,58.24637596083789
California,Monterey,2017,57.98196152790484
California,Monterey,2018,56.98840897899543
California,Monterey,2019,57.11972687923147
California,Monterey,2020,57.40576460456621
California,Monterey,2021,55.992702829691034
California,Monterey,2022,57.06621054862386
California,Monterey,2023,56.44863619269406
California,Monterey,2024,55.06479768864469
California,Nevada,2010,63.76234527528089
California,Nevada,2011,67.56854392391304
California,Nevada,2012,70.74841486413042
California,Nevada,2013,65.21026221857923
California,Orange,2010,62.802987857538035
California,Orange,2011,63.55690543031359
California,Orange,2012,63.366247752732235
California,Orange,2013,63.61058991135734
California,Orange,2014,66.25663659041096
California,Orange,2015,66.27112378633302
California,Orange,2016,66.25004375320239
California,Orange,2017,66.58905127108868
California,Orange,2018,66.33208880684931
California,Orange,2019,64.72224600552104
California,Orange,2020,65.98613122677597
California,Orange,2021,64.69687502608099
California,Orange,2022,66.3721077911247
California,Orange,2023,64.84958510667903
California,Placer,2010,61.3193374
California,Placer,2011,60.67393709039548
California,Placer,2012,65.63640318260869
California,Placer,2016,67.21484987142857
California,Placer,2017,64.21759861917808
California,Placer,2018,62.67586510958904
California,Placer,2019,61.79006540821918
California,Placer,2020,62.96934414876033
California,Placer,2021,61.874229408219186
California,Placer,2022,64.1105072739726
California,Placer,2023,62.929225884615384
California,Placer,2024,53.146108032967035
California,Riverside,2010,67.92760825080043
California,Riverside,2011,67.94491800631911
California,Riverside,2012,69.85536654079328
California,Riverside,2013,68.45164625112822
California,Riverside,2014,70.94344790061297
California,Riverside,2015,70.54250419412051
California,Riverside,2016,70.23473165608716
California,Riverside,2017,70.98165799765918
California,Riverside,2018,70.84045501309473
California,Riverside,2019,69.18720992841388
California,Riverside,2020,70.6297771675096
California,Riverside,2021,71.56140851907492
California,Riverside,2022,71.00034847332833
California,Riverside,2023,68.25563381564247
California,Riverside,2024,69.17331451392405
California,Sacramento,2010,60.96891104589707
California,Sacramento,2011,59.73117976702128
California,Sacramento,2012,62.48756701926346
California,Sacramento,2013,62.73059250484765
California,Sacramento,2014,64.89607032578876
California,Sacramento,2015,63.580439552616106
California,Sacramento,2016,63.5926946212987
California,Sacramento,2017,63.785145790886396
California,Sacramento,2018,63.4849849814433
California,Sacramento,2019,62.7565923650266
California,Sacramento,2020,63.029783909153004
California,Sacramento,2021,62.789563421052634
California,Sacramento,2022,62.56895814088397
California,Sacramento,2023,61.272319564558636
California,Sacramento,2024,56.42498864756446
California,San Benito,2010,56.518446802758625
California,San Benito,2011,56.03418160958905
California,San Benito,2012,57.57545023666211
California,San Benito,2013,57.63875682876712
California,San Benito,2014,60.14428748422497
California,San Benito,2015,59.20544323521321
California,San Benito,2016,58.802756376712324
California,San Benito,2017,59.19158072054795
California,San Benito,2018,58.63877312191781
California,San Benito,2019,58.01731152674897
California,San Benito,2020,58.63407960519125
California,San Benito,2021,57.964307365258215
California,San Benito,2022,58.05572667448405
California,San Benito,2023,56.79442848626374
California,San Benito,2024,56.438590580589256
California,San Bernardino,2010,62.591130950587605
California,San Bernardino,2011,62.485044956778
California,San Bernardino,2012,63.67908824123044
California,San Bernardino,2013,63.42604021204188
California,San Bernardino,2014,65.31973104503753
California,San Bernardino,2015,64.69904267724478
California,San Bernardino,2016,64.85083084535187
California,San Bernardino,2017,66.39523494465568
California,San Bernardino,2018,65.40990478964332
California,San Bernardino,2019,63.060195111842106
California,San Bernardino,2020,65.63163031413934
California,San Bernardino,2021,65.55123065349866
California,San Bernardino,2022,65.15350470656534
California,San Bernardino,2023,62.82689066615316
California,San Bernardino,2024,60.85133908815671
California,San Diego,2010,61.09928958774948
California,San Diego,2011,61.31159125593395
California,San Diego,2012,62.852945990095634
California,San Diego,2013,62.65811203184931
California,San Diego,2014,65.73639366071428
California,San Diego,2015,65.5595252296369
California,San Diego,2016,64.74863198835217
California,San Diego,2017,64.48369458111284
California,San Diego,2018,64.41818875405299
California,San Diego,2019,62.84593279764099
California,San Diego,2020,64.26605217703349
California,San Diego,2021,61.860859546777554
California,San Diego,2022,64.17959156603774
California,San Diego,2023,62.22717821606373
California,San Joaquin,2010,60.71970547204161
California,San Joaquin,2011,60.40357338925542
California,San Joaquin,2012,62.494339624772316
California,San Joaquin,2013,61.86281469882353
California,San Joaquin,2014,65.00239713972603
California,San Joaquin,2015,63.20873766079812
California,San Joaquin,2016,63.796382024007386
California,San Joaquin,2017,64.00460237350505
California,San Joaquin,2018,63.31609868652612
California,San Joaquin,2019,64.11101599537037
California,San Joaquin,2020,65.19612906605504
California,San Joaquin,2021,63.405203711357814
California,San Joaquin,2022,64.41722283793737
California,San Joaquin,2023,62.9091783552381
California,San Joaquin,2024,59.31577471118012
California,San Luis Obispo,2010,56.50750346274039
California,San Luis Obispo,2011,56.2037714512987
California,San Luis Obispo,2012,57.81329880863931
California,San Luis Obispo,2013,57.53207578198791
California,San Luis Obispo,2014,59.91277629795467
California,San Luis Obispo,2015,59.039895043165465
California,San Luis Obispo,2016,58.317185542678146
California,San Luis Obispo,2017,59.021406894295964
California,San Luis Obispo,2018,58.33262993801491
California,San Luis Obispo,2019,57.7504385331447
California,San Luis Obispo,2020,58.5364230471464
California,San Luis Obispo,2021,57.57782849782293
